"家庭住宅及主要設備概況","總平均%","新北市%","臺北市%","桃園市%","臺中市%","臺南市%","高雄市%","宜蘭縣%","新竹縣%","苗栗縣%","彰化縣%","南投縣%","雲林縣%","嘉義縣%","屏東縣%","臺東縣%","花蓮縣%","澎湖縣%","基隆市%","新竹市%","嘉義市%"
"機車每百戶擁有數","148.32","128.35","79.35","154.07","162.47","181.45","183.9","153.04","138.6","171.02","158.68","151.59","166.1","143.21","180.19","141.73","129.06","164.14","100.04","171.2","179.79"
"電磁爐每百戶擁有數","33.36","42.37","35.44","40.25","29.17","32.37","29.55","26.96","27.03","29.8","20.29","30.67","18.01","20.41","24.02","23.16","26.1","16.38","51.97","54.02","33.9"
"冷暖氣機每百戶擁有數","279.86","275.51","283.99","289.41","290.19","288.31","291.48","281.03","311.95","292.56","255.77","189.31","258","260.1","261.55","211.69","222.43","264.67","265.13","330.52","290.76"
"除濕機每百戶擁有數","63.9","77.63","86.97","101.17","45.72","39.54","37.95","120.56","104.98","69.14","30.51","37.95","18.95","20.25","24.51","27.64","49.81","48.83","155.93","112.13","35.74"
"洗衣機每百戶擁有數","103.58","100.6","99.9","104.97","103.86","107.87","105.24","107.45","107.21","104.07","101.1","104.18","102.21","105.38","105.91","110.53","104.61","104.23","100.91","106.69","102.28"
"烘衣機每百戶擁有數","14.77","15.53","16.32","25.84","15.44","7.03","5.24","23.18","38.62","27.25","9.6","15.5","3.67","10.98","4.83","7.83","12.62","3.94","19.43","33.52","3.85"
"空氣清淨機每百戶擁有數","38.61","37.24","42.74","42.3","45.54","38.25","50.26","15.87","54.85","29.4","29.06","22.82","11.87","12.87","27.65","13.65","17.66","8.99","29.25","70.92","33.46"
"濾水器每百戶擁有數","45.02","47.98","49.95","52.56","52.7","43.61","45.74","27.24","57.25","39.49","29.48","27.31","25.53","35","26.35","22","21.92","10.91","44.24","71.34","44.47"
"吸塵器每百戶擁有數","63.97","64.22","72.67","70.57","66.82","59.37","74.12","53.94","89.01","74.04","40.41","45.8","25.52","42.43","36.98","42","48.23","26.53","66.55","99.66","70.05"
"熱水器每百戶擁有數","108.82","100.49","101","114.07","117.66","109","104.86","121.24","123.72","142.24","104.77","106.19","106.66","109.42","104.4","113.01","114.41","106.93","100.32","130.38","107.44"
"開飲機每百戶擁有數","36","35.05","23.12","43.78","37.62","29.88","28.96","41.34","53.11","53.89","50.41","33.8","44.92","34.25","45","37.38","50.97","57.73","25.04","39.38","15.04"
"微波爐每百戶擁有數","51.57","59.07","58.54","62.97","52.23","45","45.29","37.74","60.11","46.49","43.14","41.26","41.17","29.72","39.95","36.82","31.42","37.94","53.77","67.77","42.12"
"報紙每百戶擁有數","4.44","3.79","3.9","3.99","4.57","6.83","4.85","2.06","3.63","4.03","5.1","6.14","3.91","6.77","2.1","4.29","3.45","1.55","3.87","5.67","7.76"
"期刊雜誌每百戶擁有數","1.92","2.09","2.96","1.59","1.94","1.58","1.74","1.73","2.29","0.33","1.78","1.37","0.49","0.62","2.07","0","0","0","0.64","5.36","6.5"
